title,year,authors,affiliations,journal,citations,keywords,affiliation_missing,source,doi,kc_relevant,author_keywords,index_keywords,all_keywords
Awareness About Keratoconus and Its Relation With Eye Rubbing: A Cross-Sectional Study in Riyadh,2026,Alhadlaq S O.; Aljofan A.F.; Alshutayli H.; Alnowaiser S.; Almokhtar A.M.; Alreshidi S.O.; Alnahedh T.,"College of Medicine, King Saud Bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia; College of Medicine, Majmaah University, Majmaah, Saudi Arabia; College of Medicine, Royal College of Surgeons, Dublin, Ireland; Ophthalmology Resident, Ministry of National Guard Health Affairs, Riyadh, Saudi Arabia; Ophthalmology Division, Department of Surgical Specialities, College of Medicine, Majmaah University, Majmaah, Saudi Arabia; Department of Medical Education, College of Medicine, King Saud Bin Abdulaziz University for Health Sciences (KSAU-HS), Riyadh, Saudi Arabia",Health Science Reports,0,allergy; awareness; eye rubbing; keratoconus; Saudi Arabia,False,Scopus,10.1002/hsr2.72006,True,allergy; awareness; eye rubbing; keratoconus; Saudi Arabia,adult; allergic contact dermatitis; Article; awareness; compulsion; corneal thickness; cross-sectional study; education program; environmental factor; eye allergy; eye rubbing; eye surgery; fatigue; female; headache; health care personnel; human; immunopathology; keratitis; keratoconus; major clinical study; male; middle aged; pruritus; questionnaire; risk factor; social media; sociodemographics; visual acuity,allergy; awareness; eye rubbing; keratoconus; saudi arabia; adult; allergic contact dermatitis; article; compulsion; corneal thickness; cross-sectional study; education program; environmental factor; eye allergy; eye surgery; fatigue; female; headache; health care personnel; human; immunopathology; keratitis; major clinical study; male; middle aged; pruritus; questionnaire; risk factor; social media; sociodemographics; visual acuity
Role of Ethnicity and Age in Corneal Curvature and Thickness Changes Following Corneal Cross-Linking for Keratoconus,2026,Alenezi B.M.; Khoyratty F.; Biswas S.; Alshammari Y.S.; Aldakhil S.; Alrasheed S.H.; Radhakrishnan H.,"Department of Optometry, College of Applied Medical Sciences, Qassim University, Buraydah, Saudi Arabia; Department of Ophthalmology, Imperial College NHS Trust, London, United Kingdom; Manchester Royal Eye Hospital, Manchester University NHS Trust and Manchester Academic Health Sciences Centre, Faculty of Biology, Medicine and Health, The University of Manchester, Manchester, United Kingdom; Dhahran Eye Specialist Hospital, Dhahran, Saudi Arabia; Department of Ophthalmology, Dr. Sulaiman Al Habib Hospital, Khobar, Saudi Arabia; Division of Pharmacy and Optometry, Faculty of Biology, Medicine and Health, The University of Manchester, Manchester, United Kingdom",Translational Vision Science and Technology,0,age; corneal cross-linking; corneal curvature and thickness; ethnicity; keratoconus,False,Scopus,10.1167/tvst.15.3.12,True,age; corneal cross-linking; corneal curvature and thickness; ethnicity; keratoconus,Adolescent; Adult; Age Factors; Child; Collagen; Cornea; Corneal Cross-Linking; Corneal Pachymetry; Corneal Topography; Cross-Linking Reagents; Ethnicity; Female; Humans; Keratoconus; Male; Middle Aged; Photochemotherapy; Photosensitizing Agents; Riboflavin; Saudi Arabia; Ultraviolet Rays; United Kingdom; Young Adult; dexamethasone; riboflavin; collagen; cross linking reagent; photosensitizing agent; riboflavin; adolescent; adult; age; Article; child; cohort analysis; controlled study; corneal crosslinking; corneal curvature; corneal pachymetry; corneal thickness; corrected distance visual acuity; disease exacerbation; ethnicity; eye allergy; eye examination; female; general anesthesia; human; keratoconus; keratometry; local anesthesia; major clinical study; male; outcome assessment; pachymetry; pediatric patient; retrospective study; cornea; corneal crosslinking; corneal topography; drug therapy; ethnology; metabolism; middle aged; pathology; photochemotherapy; procedures; Saudi Arabia; ultraviolet radiation; United Kingdom; young adult,age; corneal cross-linking; corneal curvature and thickness; ethnicity; keratoconus; adolescent; adult; age factors; child; collagen; cornea; corneal pachymetry; corneal topography; cross-linking reagents; female; humans; male; middle aged; photochemotherapy; photosensitizing agents; riboflavin; saudi arabia; ultraviolet rays; united kingdom; young adult; dexamethasone; cross linking reagent; photosensitizing agent; article; cohort analysis; controlled study; corneal crosslinking; corneal curvature; corneal thickness; corrected distance visual acuity; disease exacerbation; eye allergy; eye examination; general anesthesia; human; keratometry; local anesthesia; major clinical study; outcome assessment; pachymetry; pediatric patient; retrospective study; drug therapy; ethnology; metabolism; pathology; procedures; ultraviolet radiation
Stromal graft rejection after deep anterior lamellar keratoplasty at a tertiary care center,2026,Almousa K.S.; Alkharashi M.S.,"Department of Ophthalmology, College of Medicine, King Saud University, Riyadh, Saudi Arabia; Ophthalmology Division, King Fahad Medical City, Riyadh, Saudi Arabia",Saudi Journal of Ophthalmology,0,Graft rejection; lamellar keratoplasty; stromal edema; subepithelial infiltrates,False,Scopus,10.4103/sjopt.sjopt_210_24,True,Graft rejection; lamellar keratoplasty; stromal edema; subepithelial infiltrates,,graft rejection; lamellar keratoplasty; stromal edema; subepithelial infiltrates
Factors Associated with Willingness for Corneal Donation in the Western Region of Saudi Arabia,2025,Showail M.; Aljuhani R.,"Department of Ophthalmology, King Abdulaziz University Hospital, Jeddah, Saudi Arabia; Faculty of Medicine, King Abdulaziz University, Jeddah, Saudi Arabia",Clinical Ophthalmology,0,awareness; corneal donation; corneal transplant; willingness,False,Scopus,10.2147/OPTH.S547289,True,awareness; corneal donation; corneal transplant; willingness,adult; area under the curve; Article; awareness; controlled study; cornea; corneal donation; cross-sectional study; female; health care personnel; human; human experiment; knowledge; male; ophthalmologist; organ donor; questionnaire; Saudi Arabia; social desirability,awareness; corneal donation; corneal transplant; willingness; adult; area under the curve; article; controlled study; cornea; cross-sectional study; female; health care personnel; human; human experiment; knowledge; male; ophthalmologist; organ donor; questionnaire; saudi arabia; social desirability
Comparing the Efficacy and Safety of Femtosecond Laser-Enabled Keratoplasty and Conventional Penetrating Keratoplasty: A Systematic Review and Meta-Analysis,2025,Baqalaqil D.; Alrayes R.S.; Khan A.A.; Albelowi A.; Alrehaili A.; Alasbool J.; Almansouri O.A.; Alabdulali R.H.; Alghanmi R.M.; Alqazlan Z.; Aalam W.A.,"Ophthalmology Department, National Guard Hospital, Medina, Saudi Arabia; Faculty of Medicine, Taibah University, Medina, Saudi Arabia; Faculty of Medicine, King Abdulaziz University, Jeddah, Saudi Arabia; Ophthalmology Department King Salman Bin Abdulaziz Medical City, Medina, Saudi Arabia; Mansoura University, Mansoura, Egypt; Faculty of Medicine, University of Tabuk, Tabuk, Saudi Arabia; Faculty of Medicine, Alfaisal University, Riyadh, Saudi Arabia; Department of Ophthalmology, ar Rass General Hospital, Ar Rass, Saudi Arabia; Department of Surgery, College of Medicine, University of Jeddah, Jeddah, Saudi Arabia",Clinical Ophthalmology,0,BCVA; complications; CPK; FLKP; postoperative astigmatism; UCVA,False,Scopus,10.2147/OPTH.S538399,True,BCVA; complications; CPK; FLKP; postoperative astigmatism; UCVA,astigmatism; best corrected visual acuity; cell density; comparative effectiveness; controlled clinical trial (topic); cornea dystrophy; disease risk assessment; endothelial cell density; femtosecond laser enabled keratoplasty; Fuchs endothelial dystrophy; glaucoma; human; keratoplasty; meta analysis; microbial keratitis; penetrating keratoplasty; Review; risk assessment; spherical equivalent; systematic review; wound dehiscence,bcva; complications; cpk; flkp; postoperative astigmatism; ucva; astigmatism; best corrected visual acuity; cell density; comparative effectiveness; controlled clinical trial (topic); cornea dystrophy; disease risk assessment; endothelial cell density; femtosecond laser enabled keratoplasty; fuchs endothelial dystrophy; glaucoma; human; keratoplasty; meta analysis; microbial keratitis; penetrating keratoplasty; review; risk assessment; spherical equivalent; systematic review; wound dehiscence
Predictors for postpenetrating keratoplasty astigmatism: A retrospective cohort study,2025,Al Saad M.; Shehadeh A.; Alryalat S.A.; Khawaldeh T.; Shaqqour R.; Al-Ani R.; Alqhaiwi S.B.; Shehadeh A.; Wahbeh L.; Alrawashdeh H.M.,"Department of Special Surgery, Ophthalmology Division, School of Medicine, The University of Jordan, Jordan; Department of Ophthalmology, Rotherham NHS Foundation Trust, Rotherham, United Kingdom; Department of Radiology, Jordan University Hospital, Jordan; Department of Otorhinolaryngology, Jordan University Hospital, Jordan; Department of Radiation Oncology, King Hussein Cancer Center, Jordan; Department of Ophthalmology, National University Hospital, Singapore",Saudi Journal of Ophthalmology,0,Penetrating keratoplasty; predicting factors; significant astigmatism,False,Scopus,10.4103/sjopt.sjopt_88_22,True,Penetrating keratoplasty; predicting factors; significant astigmatism,adult; Article; astigmatism; cohort analysis; controlled study; cornea dystrophy; corneal topography; disease duration; electronic medical record; female; follow up; human; Jordan; keratometry; major clinical study; male; observational study; penetrating keratoplasty; perioperative period; prevalence; reoperation; retrospective study; risk factor; suture removal; visual acuity,penetrating keratoplasty; predicting factors; significant astigmatism; adult; article; astigmatism; cohort analysis; controlled study; cornea dystrophy; corneal topography; disease duration; electronic medical record; female; follow up; human; jordan; keratometry; major clinical study; male; observational study; perioperative period; prevalence; reoperation; retrospective study; risk factor; suture removal; visual acuity
A modified technique of compression sutures combined with intracameral sulfur hexafluoride (SF6) for acute corneal hydrops,2025,Kirat O.; Naaman N.K.; Alsadoon A.; Bin Helayel H.; Fairaq R.,"Anterior Segment Division, King Khaled Eye Specialist Hospital, Riyadh, Saudi Arabia; College of Medicine, King Saud bin Abdulaziz University for Health Sciences, Jeddah, Saudi Arabia; King Abdullah International Medical Research Center, Jeddah, Saudi Arabia; Department of Ophthalmology, Ministry of National Guard - Health Affairs, Jeddah, Saudi Arabia; Fellowship and Residency Training Program, King Khaled Eye Specialist Hospital, Riyadh, Saudi Arabia",AJO International,0,Corneal ectasia; Corneal hydrops; Gas tamponade; Keratoconus,False,Scopus,10.1016/j.ajoint.2025.100140,True,Corneal ectasia; Corneal hydrops; Gas tamponade; Keratoconus,,corneal ectasia; corneal hydrops; gas tamponade; keratoconus
Central Corneal Subepithelial Haze Following Keratoplasty With Interrupted Sutures: A Novel Clinical Finding,2025,Kirat O.; Hawsawi R.; Alhilali S.,"Anterior Segment Division, King Khaled Eye Specialist Hospital, Riyadh, Saudi Arabia",International Medical Case Reports Journal,0,haze; keratoplasty; subepithelial; sutures,False,Scopus,10.2147/IMCRJ.S504331,True,haze; keratoplasty; subepithelial; sutures,artificial tear; prednisolone acetate; adult; anterior eye segment; Article; astigmatism; best corrected visual acuity; best spectacle corrected distance visual acuity; central corneal steepening; central corneal subepithelial haze; clinical assessment; clinical evaluation; cornea disease; corneal thickness; descriptive research; disease exacerbation; documentation; drug dose reduction; eye photography; female; follow up; interrupted suture; keratoconus; keratometry; keratoplasty; lamellar keratoplasty; male; maximum keratometry value; mean keratometry value; operation duration; optical coherence tomography; pathophysiology; penetrating keratoplasty; postoperative complication; retrospective study; scar formation; slit lamp microscopy; suture removal; suture technique; uncorrected visual acuity; visual acuity; visual system parameters,haze; keratoplasty; subepithelial; sutures; artificial tear; prednisolone acetate; adult; anterior eye segment; article; astigmatism; best corrected visual acuity; best spectacle corrected distance visual acuity; central corneal steepening; central corneal subepithelial haze; clinical assessment; clinical evaluation; cornea disease; corneal thickness; descriptive research; disease exacerbation; documentation; drug dose reduction; eye photography; female; follow up; interrupted suture; keratoconus; keratometry; lamellar keratoplasty; male; maximum keratometry value; mean keratometry value; operation duration; optical coherence tomography; pathophysiology; penetrating keratoplasty; postoperative complication; retrospective study; scar formation; slit lamp microscopy; suture removal; suture technique; uncorrected visual acuity; visual acuity; visual system parameters
Case Study: Optical Rehabilitation Remedies for a Patient with Keratoconus and Esophoria with Biochemical Aspects,2024,Al Ibrahim A.I.A.; Ali Aboalqasim A.M.; Namazi L.A.; Tawashi M.M.; Faqihi M.Y.; Farhan R.; Albayshi A.A.; Alubaie M.A.; Sayed M.Y.; Alnakhli R.E.; Aishaia F.I.; Aldossary S.B.; Alsubaie N.M.; Mubarek S.A.A.; Raeedi W.A.; Alhamdan A.M.; Hassani A.M.,"Ministry of Health, Saudi Arabia; King Saud Medical City, Ministry of Health, Saudi Arabia; King Saud Hospital for Obstetrics and Gynecology, Ministry of Health, Saudi Arabia; Al dar Albedha2, Ministry of Health, Riyadh, Saudi Arabia; King Saud Medical City, Saudi Arabia",Egyptian Journal of Chemistry,0,Biochemical Aspects; Esophoria; Keratoconus; Rehabilitation,False,Scopus,10.21608/ejchem.2024.345498.11006,True,Biochemical Aspects; Esophoria; Keratoconus; Rehabilitation,,biochemical aspects; esophoria; keratoconus; rehabilitation
AI-Based Vision Screening Tool for Keratoconus,2024,Rahman R.; Kumar P.; Sharma Y.K.; Sharma M.; Challa N.K.,"Glocal University, Saharanpur, India; Swami Rama Himalayan University (SRHU), Dehradun, India; ITS Engineering College, Greater Noida, India; Qassim University, Buraidah, Saudi Arabia",Lecture Notes in Electrical Engineering,1,Healthcare technology; Image recognition; Keratoconus; Medical AI tools; Vision screening tool,False,Scopus,10.1007/978-981-97-5231-7_15,True,Healthcare technology; Image recognition; Keratoconus; Medical AI tools; Vision screening tool,Diagnosis; Machine vision; Medical image processing; Vision aids; Early diagnosis; Early intervention; Healthcare technology; Keratoconus; Medical AI tool; Screening tool; Vision screening; Vision screening tool; Visual functions; Visual pathways; Diseases,healthcare technology; image recognition; keratoconus; medical ai tools; vision screening tool; diagnosis; machine vision; medical image processing; vision aids; early diagnosis; early intervention; medical ai tool; screening tool; vision screening; visual functions; visual pathways; diseases
